question 1,question 2,status,time,order time,order name,message 1,message 2,message 3,id
status ; date,status ; date,in_dest_country,-3 ; 10,,,Nous avons verifié le suivi de votre commande numéro {order_name} : Celle ci est proche de chez vous$ vous devriez la recevoir d'ici quelques jours :),,,10
status ; date,tracking_PB,in_dest_country,-3 ; 10,,,Nous avons verifié le suivi de votre commande numéro {order_name} : Celle ci est proche de chez vous$ vous devriez la recevoir d'ici quelques jours :)<br>Vous pouvez suivre l'avancement de votre colis ici : http://parcelsapp.com/fr/tracking/{tracking_num},,,11
status ; date,status ; date,in_local_center,-2 ; 2,,,Nous avons verifié le suivi de votre commande : Celle ci est dans votre centre postal local$ vous devriez la recevoir d'ici demain :),,,12
status ; date,tracking_PB,in_local_center,-2 ; 2,,,Nous avons verifié le suivi de votre commande : Celle ci est dans votre centre postal local$ vous devriez la recevoir d'ici demain :)<br>Vous pouvez suivre l'avancement de votre colis ici : http://parcelsapp.com/fr/tracking/{tracking_num},,,13
24_48h,24_48h ; status ; date,fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center,,,,Vous avez commandé notre produit en expédition 24/48h. Celui ci a bien été expédié dans les délais par l'agence de livraison. Pas d'inquiétude {first_name}$ votre commande est donc bien en cours d'acheminement et nous faisons notre possible pour vous la livrer rapidement (La livraison est prévue {time}).,,,27
24_48h,24_48h ; tracking_PB,fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center,,,,Vous avez commandé notre produit en expédition 24/48h. Celui ci a bien été expédié dans les délais par l'agence de livraison. Pas d'inquiétude {first_name}$ votre commande est donc bien en cours d'acheminement et nous faisons notre possible pour vous la livrer rapidement (La livraison est prévue {time}). Vous pouvez en attendant suivre votre colis ici : http://parcelsapp.com/fr/tracking/{tracking_num},,,28
status ; date ; tracking_PB ; refund,status ; date ; tracking_PB,delivered,-7 ; -1,,,Nous avons verifié et selon le suivi de votre commande numéro {order_name}$ celle ci a été livrée il y a quelques jours. Vous pouvez voir son suivi ici : http://parcelsapp.com/fr/tracking/{tracking_num}<br><br> Je suis la pour vous aider à régler ce problème :) Il s'agit peut être d'une erreur de votre facteur$ un voisin a surement récupéré votre colis. Voyez donc d'abord auprès de votre entourage et contactez la poste si vous n'avez toujours pas trouvé votre colis.,,,14
status ; date ; tracking_PB ; refund,status ; date ; tracking_PB,delivered,-30 ; -8,,,Nous avons verifié et selon le suivi de votre commande numéro {order_name}$ celle ci a été livrée il y a plus d'une semaine. Vous pouvez voir son suivi ici : http://parcelsapp.com/fr/tracking/{tracking_num}<br>Etes vous certain de ne pas l'avoir reçu ? Sinon$ il s'agit surement d'une erreur de votre facteur$ un voisin a surement récupéré votre colis. Voyez donc auprès de votre entourage et contactez la poste si vous n'avez toujours pas trouvé votre colis pour contester la livraison. Navré que cela vous soit arrivé$ j'espère sincèrement que vous trouverez rapidement votre colis.,,,15
cancel ; refund,,not_fulfilled,98 ; 100,,,/ALERT This customer wants to cancel his order$ the order has not been processed.,,,16
cancel,,fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center,,0 ; 29,,Votre commande a déja été traitée et expediée par notre équipe$ nous ne pouvons malheuresement pas procéder à son annulation<br>Si vous souhaitez toutefois être remboursé$ alors nous procéderons selon nos CGV et conditions de retour consultables sur notre site internet. Vous pouvez ainsi être remboursé si :<br>- Vous n'avez pas reçu votre commande avant la fin du délai ("colis perdu")<br>- Ou après récéption de l'article et si celui ci ne vous satisfait pas,,,17
refund,,fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center,,0 ; 29,,Navré d'apprendre que vous n'êtes pas pleinement satisfait de notre service. Ne vous inquiétez pas$ votre commande a bien été traitée par notre équipe et devrait arriver prochainement chez vous.<br>Si toutefois vous souhaitez être remboursé$ alors nous procéderons selon nos CGV et politique de retour consultables sur notre site internet. Vous pouvez ainsi être remboursé si vous n'avez pas reçu votre commande avant la fin du délai légal de 30 jours après achat.<br>N'hésitez pas à revenir vers nous si vous avez la moindre question :),,,18
refund ; return,refund ; return,delivered,-14 ; 0,,,Navré d'apprendre que vous n'êtes pas pleinement satisfait de notre service. Ne vous en faites pas$ nous pouvons vous envoyer un nouvel article gratuitement$ ou sinon vous rembourser selon nos CGV et politique de retour consultables sur notre site internet :<br>Retournez l'article à notre service de retour:<br>4 Avenue de Fulpmes$ 78450 Villepreux$ FRANCE<br>Veillez à indiquer clairement sur le colis votre nom et numéro de commande. Il vous incombera de payer vos propres frais d'expédition pour retourner votre article.<br>Après récéption de votre colis$ nous procéderons à l'envoi d'un article de remplacement gratuit$ ou au remboursement intégral de votre commande.<br>N'hésitez pas à revenir vers nous si vous avez la moindre question :),,,19
refund ; return,refund ; return,delivered,-200 ; -15,,,Navré d'apprendre que vous rencontrez un problème avec votre article. Malheureseument selon nos CGV et politique de retour consultables sur notre site internet$ votre retour n'est pas eligible car vous avez receptionné votre commande il y a plus de 14 jours. Nous pouvons toutefois vous offrir le code promo KDO20 si vous souhaitez acheter un article de remplacement :),,,20
modify_adress,,not_fulfilled,85 ; 100,,,/ALERT This customer wants to change his delivery address,,,21
modify_order,,not_fulfilled,85 ; 100,,,/ALERT This customer wants to make a change to his order,,,22
modify_adress,,fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center,,,,Votre commande a déja été traitée et expédiée par notre équipe$ nous ne pouvons malheuresement plus modifier votre adresse de livraison. Vous pouvez contacter la poste avec votre numéro de suivi : {tracking_num} pour trouver une solution auprès d'eux,,,23
modify_order,,fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center,,,,Votre commande a déja été traitée et expédiée par notre équipe$ nous ne pouvons malheuresement plus modifier votre commande. Je vous propose donc un code promo exceptionnel pour acheter l'article que vous préferez : MERCI.<br>Ou bien vous pouvez attendre reception de votre commande puis demander un échange$ comme vous le souhaitez !,,,24
refund ; cancel,,not_fulfilled ; fulfilled ; shipped ; in_airline ; in_dest_country,,30 ; 200,,Nous somme sincèrement désolé pour le problème de livraison que vous rencontrez.<br>Pourriez vous s’il vous plaît nous donner un délais supplémentaire raisonnable afin que nous puissons contacter le transporteur voir ce qu'il en est du colis ?<br>Nous appliquons les lois en vigueur en France$ ce délai est indispensable afin que nous puissions être en accord avec l’article L216-1 du code de la consommation.,,,25
status ; tracking_PB ; date,,not_fulfilled ; fulfilled ; shipped ; in_airline ; in_dest_country,,30 ; 200,,Nous somme sincèrement désolé pour le problème de livraison que vous rencontrez.<br>Nous allons tout de suite contacter le transporteur voir ce qu'il en est du colis$ le mouvement actuel de grève ralentit certain colis malheuresement<br> Merci de nous accorder un délai supplémentaire raisonable,,,26
status ; tracking_PB,status ; tracking_PB,not_fulfilled,0 ; 85,,,/ALERT This order was placed more than 15 days ago but still has not been processed!,,,s3
Default Fallback Intent,Default Fallback Intent,none ; not_fulfilled ; fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center ; delivered,,,,/ALERT No questions detected,,,s5
