last message id,question 1,question 2,status,time,order_time,message 1,message 2,id
8 ; 28,status,tracking_PB,fulfilled ; shipped ; in_airline,,,Pas d'inquiétude{first_name}$ votre commande continue bien sa progression. Le transporteur a pris quelques jours de retard à cause du mouvement actuel de grève$ mais devrait désormais accelerer votre livraison$ je suis sincèrement désolé pour ce désagrément. Votre numéro de suivi {tracking_num} est bien valide. Si vous ne parvenez pas encore a suivre votre colis$ réesayez dans quelques jours$ l'état du suivi peut parfois mettre un certain temps pour se mettre à jour,,5.5
6 ; 8 ; 9 ; 5.1 ; 5.2 ; 5.3 ; 5.7 ; 5.8 ; 5.9 ; 5.10 ; 4.3 ; 4.4 ; 28,tracking_PB,tracking_PB,fulfilled ; shipped ; in_airline,,,Votre numéro de suivi {tracking_num} est bien valide. Si vous ne parvenez pas encore a suivre votre colis$ réesayez dans quelques jours$ l'état du suivi peut parfois mettre un certain temps pour se mettre à jour,,5.6
5 ; 6 ; 9 ; 4.3,status ; date,date,fulfilled ; shipped ; in_airline,,,Votre colis continue bien sa progression$ vous devriez le recevoir {time}.<br>Le transporteur a pris quelques jours de retard à cause du mouvement de grève actuel$ mais devrait désormais accelerer votre livraison$ je suis sincèrement désolé pour ce désagrément.,,5.7
7,status ; date,date,fulfilled ; shipped ; in_airline,,,Après analyse de votre suivi$ je pense que vous devriez recevoir votre commande {time}.<br><br>Le transporteur a pris quelques jours de retard à cause du mouvement de grève actuel$ mais devrait désormais accelerer votre livraison$ je suis sincèrement désolé pour ce désagrément.,,5.8
8 ; 27 ; 28,status ; date,date,fulfilled ; shipped ; in_airline,,,Pas d'inquiétude{first_name}$ votre commande continue bien sa progression. Le transporteur a pris quelques jours de retard à cause du mouvement actuel de grève$ mais devrait désormais accelerer votre livraison$ je suis sincèrement désolé pour ce désagrément. Après analyse de votre suivi$ j'estime que vous devriez recevoir votre commande {time},,5.9
5 ; 7,date,tracking_PB,fulfilled ; shipped ; in_airline,,,Vous pouvez suivre l'avancement de votre commande ici : http://parcelsapp.com/fr/tracking/{tracking_num}<br><br>Après analyse de votre suivi$ je pense que vous devriez recevoir votre commande {time}.<br><br>Le transporteur a pris quelques jours de retard à cause du mouvement de grève actuel$ mais devrait désormais accelerer votre livraison$ je suis sincèrement désolé pour ce désagrément.,,5.10
8 ; 9,date,tracking_PB,fulfilled ; shipped ; in_airline,,,Pas d'inquiétude{first_name}$ votre commande continue bien sa progression. Le transporteur a pris quelques jours de retard à cause du mouvement actuel de grève$ mais devrait désormais accelerer votre livraison$ je suis sincèrement désolé pour ce désagrément. Après analyse de votre suivi$ j'estime que vous devriez recevoir votre commande {time}<br><br>Votre numéro de suivi {tracking_num} est bien valide. Si vous ne parvenez pas encore a suivre votre colis$ réesayez dans quelques jours$ l'état du suivi peut parfois mettre un certain temps pour se mettre à jour,,5.11
5.1 ; 5.2 ; 5.3 ; 5.4 ; 5.5 ; 5.6 ; 4.4,status ; date,date,fulfilled ; shipped ; in_airline,,,Après analyse de votre suivi$ je pense que vous devriez recevoir votre commande {time}. Je vous prie encore une fois de nous excusez du retard occasionné par la grève sur le territoire.,,5.0.1
5 ; 6 ; 7 ; 8 ; 5.1 ; 5.2 ; 5.3 ; 5.4 ; 5.5 ; 5.6 ; 5.7 ; 5.8 ; 5.9 ; 5.10 ; 5.11,status ; date ; tracking_PB,status ; date ; tracking_PB,in_dest_country ; in_local_center,-2 ; 6,,J'ai verifié le suivi de votre commande et celle ci continue bien sa progression depuis votre dernier message ! Elle est désormais proche de chez vous$ vous devriez la recevoir sous quelques jours :),,6.1
10 ; 11,status ; date ; tracking_PB,status ; date ;tracking_PB,in_dest_country ; in_local_center,-2 ; 6,,Ne vous en faites pas{first_name}$ votre commande continue sa progression normalement. Elle arrive désormais dans votre centre postal local et vous sera donc livrée très prochainement :),,6.2
17,cancel,,fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center,,,Navré de ne pas pouvoir annuler votre commande dès à présent. Nous ne faisons qu'appliquer la loi et nos conditions générales de ventes$ merci de votre compréhension.<br>Ne vous inquiétez pas{first_name}$ votre commande est bien en cours d'acheminement$ vous pouvez suivre son avancement ici : http://parcelsapp.com/fr/tracking/{tracking_num},,17.1
18,refund,,fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center,,,Navré de ne pas pouvoir rembourser votre commande dès à présent. Nous ne faisons qu'appliquer la loi et nos conditions générales de ventes$ merci de votre compréhension.<br>Pas d'inquiétude{first_name}$ votre commande continue sa progression depuis votre dernier message$ vous pouvez suivre son avancement ici : http://parcelsapp.com/fr/tracking/{tracking_num},,18.1
4.1 ; 4.2 ; 4.3 ; 4.4 ; 4.5 ; 5.1 ; 5.2 ; 5.3 ; 5.4 ; 5.5 ; 5.6 ; 5.7 ; 5.8 ; 5.9 ; 5.10 ; 5.11 ; 5.0.1 ; 6.1 ; 6.2 ; 99.1 ; 41 ; 27 ; 28,status ; date ; tracking_PB ; 24_48h,status ; date ; tracking_PB ; 24_48h,fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center,,,/ALERT This client asks me a lot of questions$ I'll leave you to continue the conversation!,,99.1
14 ; 15,status ; tracking_PB ; refund ; return,status ; tracking_PB ; refund ; return,delivered,-30 ; -1,,/ALERT This customer was delivered according to the tracking$ but claims not to have received it. I told him to check with the post office!,,14.1
16,Default Fallback Intent ; cancel ; refund ; modify_order ; modify_adress ; status,,not_fulfilled,50 ; 100,,/ALERT This customer canceled his order but sent back a message,,16.1
19 ; 20,refund ; return,,delivered,,,/ALERT This customer has received his article but would like more information on returns.,,19.1
21 ; 22 ; 23 ; 24,modify_adress ; modify_order,,not_fulfilled,50 ; 100,,/ALERT This customer has changed his order but returns a message,,21.1
